race,rekomendasi,gambar,style,price,gender,Inspo
white,"T-Shirt (Fine Black T-Shirt), Trousers (Chase Pull On Trousers), Sandals (Flat Sandals)","fine-tshirt.jpg, chase-pull-on-trousers.jpg, flat-sandals.jpg",Street,"380000, 1000000, 250000",Woman,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B2%5D,origin%5Bdam%5D,source%5B%2Fa7%2F76%2Fa7769f8435de8954b8cf0ea1b613b6e1d1c8eade.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
white,"Ear Cuffs (Cay Ear Cuffs), Dress (Lycke Shoulder Dress), Rings (Leona Toe Ring Set), Shoes (Ann Demeulemesteer Black Wedge Mules)","cay-ear-cuffs.jpg, lycke-shoulder-dress.jpg, leona-toe-ring-set.jpg, ann-demeulemesteer-black-wedge-mules.jpg",Casual,"225000, 1000000, 200000, 800000",Woman,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B450%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2Fb4%2Fea%2Fb4ea6c6fa008762b88b71022983914e905da4e05.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
white,"Shirt (Cotton Poplin Shirt), Tank Top (Clean Fitted Tank Top), Jeans (Arrow Low Heavy Stitching)","cotton-poplin-shirt.jpg, clean-fitted-tank-top.jpg, arrow-low-heavy-stitching.jpg",Casual,"750000, 150000, 1200000",Woman,"https://lp.weekday.com/app003prod?set=key[resolve.pixelRatio],value[]&set=key[resolve.width],value[475]&set=key[resolve.height],value[10000]&set=key[resolve.imageFit],value[containerwidth]&set=key[resolve.allowImageUpscaling],value[0]&set=key[resolve.format],value[jpeg]&set=key[resolve.quality],value[90]&set=source[/33/5d/335d07ffb3e5396fb864aa542c9c6046921ddddb.jpg],origin[dam],type[LOOKBOOK],ImageVersion[1]&call=url[file:/product/dynamic.chain]"
white,"Earrings (Kate Earrings), Shirt (Ava Linen Mix Short Sleeve Shirt), Skirt (Rhea Long Denim Skirt)","kate-earrings.jpg, ava-linen-mix-short-sleeve-shirt.jpg, rhea-long-denim-skirt.jpg",Casual,"800000,  250000, 970000",Woman,https://lp.weekday.com/app003prod?set=quality%5B79%5D%2Csource%5B%2Fcf%2Fb8%2Fcfb800023a9425db632e5905b45621b74c359535.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D%2Ctarget%5Bhm.com%5D&call=url[file:/product/main]
white,"Denim Jacket (Loose Fit Denim Jacket), Vest (Rompi Rajut Middle Gauge Kerah Bulat), Chino (Chino Skinny Fit), Belt (Italian Leather Vintage Narrow Belt), Sneakers (Nike Air Force 1 Sneaker)","loose-fit-denim-jacket.jpg, rompi-rajut-middle-gauge-kerah-bulat.jpg, chino-skinny-fit.jpg, italian-leather-vintage-narrow-belt.jpg, nike-air-force-1-sneaker.jpg",Casual,"800000, 300000, 600000, 499000, 1549000",Man,https://api.fastretailing.com/ugc/v1/uq/gl/OFFICIAL_IMAGES/221202081545_official_styling_130013462
white,"T-Shirt (White T-Shirt), Jeans (Astro Loose Baggy Jeans), Shoes (Adidas Velosamba Vegan Cycling Shoes)","white-tshirt.jpg, astro-loose-baggy-jeans.jpg, adidas-velosamba-vegan-cycling-shoes.jpg",Casual,"150000, 890000, 1600000",Man,
white,"Earrings (Cay Ear Cuffs), Shirt (Cream Relaxed Terry Shirt), Tank Top (Standard White Tank Top), Bracelet (John Bracelet), Shorts (Men Slim Fit Stretch Cotton Denim Bermuda Shorts), Sneaker (Nike Air Force 1 Sneaker)","cay-ear-cuffs.jpg, cream-relaxed-terry-shirt.jpg, 2-pack-standard-tank-top.jpg, john-bracelet.jpg, mens-slim-fit-stretch-cotton-denim-bermuda-shorts.jpg, nike-air-force-1-sneaker.jpg",Formal,"225000, 820000, 250000, 230000, 800000, 1549000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B4%5D,origin%5Bdam%5D,source%5B%2Fa0%2Fe5%2Fa0e5ab1dcbd9f3c2925dad9322ee34e26fe30837.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
white,"Earrings (Cay Ear Cuffs), Necklace (Jace Necklace), Shirt (Black Relaxed Resort Terry Shirt), Short (Austin Jersey Short), Shoes (Dr. Martens Vintage 2976 Leather Chelsea Boots Black)","cay-ear-cuffs.jpg, jace-necklace.jpg, black-relaxed-resort-terry-shirt.jpg, austin-jersey-short.jpg, dr-martens-vintage-2976-leather-chelsea-boots-black.jpg",Street,"225000, 320000, 820000, 675000, 2000000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2Fa9%2Fb3%2Fa9b3729f516399b01ce02714330ba7360634d677.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
white,"Earrings (Cay Ear Cuffs), Shirt (Lighty Green Relaxed Resort Terry Shirt), Tank Top (Dusty Khaki Standard Tank Top), Shorts (Lighty Green Austin Jersey Shorts), Shoes (Skate Piero Original Lorentz Off White LT Grey)","cay-ear-cuffs.jpg, lighty-green-relaxed-resort-terry-shirt.jpg, dusty-khaki-standard-tank-top.jpg, lighty-green-austin-jersey-shorts.jpg, skate-piero-original-lorentz-off-white-lt-grey.jpg",Casual,"225000, 820000, 150000, 675000, 350000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2F20%2Fec%2F20ecf89e1361c4b6b1c128a81056ea7fcfaa0d0a.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
white,"Jacket (Military Airborne Flight Tactical Bomber Jacket), Hoodie (H&M Relaxed Fit Grey Hoodie), Jeans (Blue Slim Fit Jeans), Shoes (Adidas Stan Smith White)","military-airborne-flight-tactical-bomber-jacket.jpg, h-and-m-relaxed-fit-grey-hoodie.jpg, blue-slim-fit-jeans.jpg, adidas-stan-smith-white.jpg",Casual,"580000, 500000, 415000, 1200000",Man,https://www.pinterest.com/madamsassypants/dude-fashion/
white,"Cap (Black Norton Caps), T-Shirt (Pocket Boxy Cut Oversized Grey T-Shirt), Pants (Teflon Switchable Cover Pants, Socks (Long Black Nike Shoes), Sneakers (Nike EXP X14 Just Do It Pack Black)","black-norton-caps.jpg, pocket-boxy-cut-oversized-grey-tshirt.jpg, teflon-switchable-cover-pants.jpg, long-black-nike-shoes.jpg, black-norton-caps.jpg",Street,"370000, 65000, 5000000, 150000, 2500000",Man,https://pbs.twimg.com/media/Dh8C7J3XcAACtNQ.jpg:large
white,"Waistcoast (Camel Hair Herringbone Jumper Waistcoat), Shirt (Gingham Brown Shirt), Tie (Brown Tie), Chino (Uniqlo Black Chino Skinny Fit), Shoes (Black Pantofel)","camel-hair herringbone-jumper-waistcoat.jpg, gingham-brown-shirt.jpg, brown-tie.jpg, uniqlo-black-chino-skinny-fit.jpg, black-pantofel.jpg",Vintage,"5000000, 800000, 220000, 600000, 1000000",Man,https://media.istockphoto.com/id/1141636771/photo/portrait-of-a-handsome-chinese-young-man-with-korean-style-clothes-walking-on-street-in-hurry.jpg?s=612x612&w=0&k=20&c=lpTlb9A2_DEaCCHC7v3X9cCuW4pZ--FDMIpG-EiI0Gs=
white,"Caps (Nike Sportswear Heritage 86), Shirt (AIRism Pique Short Sleeve Polo), Chinos (Asos Chinos Light Grey), Sneakers (Nike Air Force 1)","nike-sportswear-heritage-86-futura-washed-cap.jpg, pique-short-sleeve-polo-shirt.jpg, asos-chinos-light-grey.jpg, nike-air-force-1-sneaker.jpg",Casual,"249000, 299000, 303206, 1549000",Man,
white,Top (Double Patchwork I-Tech Tee) Pants (Summer Casual Straight-Leg Hip-Hop Grey Sweatpants) Shoes (Vintage Blue Converse),"double-patchwork-itech-tee.jpg, summer-casual-straightleg-hiphop-grey-sweatpants.jpg, vintage-blue-converse.jpg",Casual,"600000, 700000, 799000",Woman,https://www.instagram.com/p/CsYodErva3K/?hl=en
middle eastern,"Blouse (Chiffon Ruffle Sleeve), Jeans (H&M Flare High Waist Jeans), Sneakers (Women Flat White Shoes Casual Embroidery Sneakers)","chiffon-ruffle-sleeve-blouse.jpg, h&m-flare-highwaist-jeans.jpg, women-flat-white-shoes-casual-embroidery-sneakers.jpg",Casual,"120000, 429900, 298600",Woman,
middle eastern,"Shirt (Plain Button Front Plaid Shirt), Pants (Men Drawstring Waist Slant Pocket Pants), Sandals (Mint Crocs)","plain-button-front-plaid-shirt.jpg, men-drawstring-waist-slant-pocket-pants.jpg, mint-crocs.jpg",Formal,"640000, 460000, 744100",Man,https://www.instagram.com/p/CsWG7cBSXiY/?hl=en
middle eastern,"T-Shirt (White T-Shirt), Jeans (Astro Loose Baggy Jeans), Shoes (Adidas Velosamba Vegan Cycling Shoes)","white-tshirt.jpg, astro-loose-baggy-jeans.jpg, adidas-velosamba-vegan-cycling-shoes.jpg",Casual,"150000, 890000, 1600000",Man,
middle eastern,"Abaya (LB51 Organza Abaya), High Heels (High Heels Shoes)","lb51-organza-abaya.jpg, high-heels-shoes.jpg",Formal,"12000000, 1000000",Woman,https://cdn.shopify.com/s/files/1/0527/8367/7631/products/LB51_011_1400x_d2bb9a55-08e1-472b-aff9-a409ddb32c06_700x.jpg?v=1648822203
latino hispanic,"Dress (Floral Print Rose Swing Dress), High Heels (Retro Black White Angkle Strappy High Heels)","Floral-Print-Rose-Swing-Dress-Black-Red.jpg, retro-black-white-ankle-strappy-high-heels.jpg",Vintage,"562000, 887000",Woman,https://outfittrends.b-cdn.net/wp-content/uploads/2015/05/swing.jpg.webp
latino hispanic,"Earrings (Kate Earrings), Top (Ring Asymmetric Top), Sweater (Everyly Sweater), Skirt (Rhea Long Denim Skirt), Boots (Tommy Hilfiger Plaque Ankle Boots)","kate-earrings.jpg, ring-asymmetric-top.jpg, everyly-sweater.jpg, rhea-long-denim-skirt.jpg, monogram-plaque-ankle-boots.jpg",Casual,"250000, 330000, 820000, 970000, 2500000",Woman,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2F02%2F2d%2F022da268fda8620c0211b043e8f4bdf6d942035b.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
latino hispanic,"T-Shirt (White T-Shirt), Jeans (Astro Loose Baggy Jeans), Shoes (Adidas Velosamba Vegan Cycling Shoes)","white-tshirt.jpg, astro-loose-baggy-jeans.jpg, adidas-velosamba-vegan-cycling-shoes.jpg",Casual,"150000, 890000, 1600000",Man,
latino hispanic,"Sunglasses (Trek Sunglasses), Dress (Maeve Oversized Dress), Boots (Ankle Boots)","trek-sunglasses.jpg, maeve-oversized-dress.jpg, ankle-boots.jpg",Street,"600000, 1200000, 800000",Woman,https://lp.weekday.com/app003prod?set=quality%5B79%5D%2Csource%5B%2Fec%2F4f%2Fec4f9922ffb418bca24fd9873a2a975a8672e749.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D%2Ctarget%5Bhm.com%5D&call=url[file:/product/main]
